x,y,r
1110.1,636.2,4
55.6,217.2,3
582.4,422.6,3
147.5,275.3,3
729.9,482.9,3
859.0,534.4,3
52.2,223.3,3
266.6,270.8,2
328.9,331.1,3
45.7,224.2,3
481.0,339.4,4
237.8,296.9,4
183.1,275.9,3
973.7,578.4,3
770.8,453.3,3
804.1,449.1,3
620.4,386.3,3
843.7,483.4,3
381.7,337.1,4
273.1,307.5,2
981.3,557.9,3
979.5,545.7,3
933.6,548.9,2
116.7,232.3,4
619.3,389.0,2
712.3,410.0,3
995.8,527.0,3
603.8,388.5,2
1054.7,577.7,2
575.5,366.3,4
452.3,333.2,3
1084.0,581.4,3
272.6,315.8,3
886.0,458.6,3
628.0,402.0,3
381.7,321.8,2
1141.7,593.9,4
979.3,556.1,3
610.6,426.3,3
362.4,305.2,4
242.6,289.8,3
302.2,304.9,4
779.2,494.1,3
80.3,214.5,3
744.4,478.7,3
136.1,239.9,2
268.8,292.9,3
192.9,268.0,3
1046.4,562.3,3
870.8,478.6,3
957.8,514.0,2
158.7,241.5,3
57.7,221.1,3
660.6,419.2,3
736.2,413.2,3
998.6,536.4,3
1097.1,625.2,4
1140.6,593.1,3
496.8,406.1,4
891.0,535.5,3
473.2,333.5,3
394.9,335.5,3
512.2,341.6,3
647.6,380.5,2
578.0,424.7,2
454.9,335.9,3
595.8,395.8,4
214.1,299.5,2
216.2,246.7,2
301.0,319.2,2
930.9,494.3,3
1168.6,587.8,4
331.8,293.9,3
1137.6,624.4,2
664.9,406.6,2
235.4,306.5,3
324.8,305.0,3
894.0,485.8,4
615.4,411.6,2
337.5,291.4,4
1.8,212.6,3
512.3,344.4,3
674.6,467.5,3
568.8,380.5,3
407.4,357.0,3
444.7,359.1,3
895.1,523.5,2
1145.3,572.0,3
870.6,491.4,4
617.3,380.0,3
777.3,480.5,4
979.9,559.8,2
1052.3,520.5,2
741.2,495.3,3
899.5,472.5,3
118.3,243.1,4
873.0,531.6,3
892.7,459.2,2
647.3,390.5,4
