country,GDP,GDP_per_capita,internet_users_per_100
Afghanistan,20724663537,678.3478881,5.9
Albania,12903854876,4652.351395,60.1
Algeria,2.10E+11,5360.701146,16.5
American Samoa,0,0,0
Andorra,0,0,94
Angola,1.22E+11,5668.116799,19.1
Antigua and Barbuda,1230000000,13668.94482,63.4
Argentina,6.12E+11,14760.20493,59.9
Armenia,10432169571,3504.766758,46.3
Aruba,0,0,78.9
Australia,1.56E+12,67468.06871,83
Austria,4.16E+11,49053.8229,80.6188
Azerbaijan,73560484385,7811.789819,58.7
"Bahamas, The",0,0,72
Bahrain,32788114767,24612.54206,90
Bangladesh,1.30E+11,829.2514892,6.5
Barbados,0,0,75
Belarus,71709513654,7575.48211,54.17
Belgium,5.08E+11,45387.17553,82.1702
Belize,1604500000,4834.287436,31.7
Benin,8307019675,804.6728916,4.9
Bermuda,0,0,95.3
Bhutan,1883654335,2498.390915,29.9
Bolivia,30601157742,2867.639791,39.5
Bosnia and Herzegovina,17827710271,4655.597023,67.9
Botswana,14788476190,7316.883998,15
Brazil,2.25E+12,11208.08274,51.6
Brunei Darussalam,16111135789,38563.31451,64.5
Bulgaria,53009839848,7296.490124,53.0615
Burkina Faso,11582556068,683.9484018,4.4
Burundi,2718232385,267.4758992,1.3
Cabo Verde,1888123344,3784.595505,37.5
Cambodia,15249684397,1007.566179,6
Cameroon,29274957493,1315.494357,6.4
Canada,1.83E+12,51958.38124,85.8
Cayman Islands,0,0,74.1
Central African Republic,1538175744,333.1968806,3.5
Chad,13413893612,1045.892024,2.3
Channel Islands,0,0,0
Chile,2.77E+11,15732.31377,66.5
China,9.24E+12,6807.430824,45.8
Colombia,3.78E+11,7825.678358,51.7
Comoros,657300888.3,894.3879217,6.5
"Congo, Dem. Rep.",30629191170,453.6738707,2.2
"Congo, Rep.",14108139017,3172.05628,6.6
Costa Rica,49621089476,10184.60567,45.96
Cote d'Ivoire,30905260389,1521.221184,2.6
Croatia,57538524789,13529.88097,66.7476
Cuba,0,0,25.70893209
Curacao,0,0,0
Cyprus,21911444503,25248.98107,65.4548
Czech Republic,1.98E+11,18861.42546,74.1104
Denmark,3.31E+11,58893.99899,94.6297
Djibouti,1456344495,1668.336703,9.5
Dominica,504814814.8,7011.024746,59
Dominican Republic,60613625980,5826.126338,45.9
Ecuador,90023493747,5720.179922,40.35368423
"Egypt, Arab Rep.",2.72E+11,3314.462928,49.56
El Salvador,24259100000,3826.082486,23.1093
Equatorial Guinea,15573546339,20572.33597,16.4
Eritrea,3444097561,543.8219083,0.9
Estonia,24476537986,18478.26985,80.0043
Ethiopia,46869297571,498.0756751,1.9
Faeroe Islands,0,0,90
Fiji,4027913544,4571.641756,37.1
Finland,2.57E+11,47218.77196,91.5144
France,2.73E+12,41420.75667,81.9198
French Polynesia,0,0,56.8
Gabon,19343506599,11571.08292,9.2
"Gambia, The",914293769.4,494.4039288,14
Georgia,16126548034,3602.168472,43.1
Germany,3.63E+12,45084.86688,83.9614
Ghana,47928717949,1850.201186,12.3
Greece,2.42E+11,21910.22068,59.8663
Greenland,0,0,65.8
Grenada,834074059.3,7876.276564,35
Guam,0,0,65.4
Guatemala,53796711129,3477.890168,19.7
Guinea,6192819667,527.264369,1.6
Guinea-Bissau,858651121.4,503.8278435,3.1
Guyana,3075733571,3846.527721,33
Haiti,8459326660,819.9039143,10.6
Honduras,18550011298,2290.778713,17.8
"Hong Kong SAR, China",2.74E+11,38123.52212,74.2
Hungary,1.30E+11,13133.81935,72.6439
Iceland,14619878414,45262.50121,96.5468
India,1.88E+12,1498.872175,15.1
Indonesia,8.68E+11,3475.250446,15.82
"Iran, Islamic Rep.",3.69E+11,4763.303309,31.4
Iraq,2.23E+11,6669.544863,9.2
Ireland,2.18E+11,47399.89572,78.2477
Isle of Man,0,0,0
Israel,2.91E+11,36151.21209,70.8
Italy,2.07E+12,34619.2387,58.4593
Jamaica,14362262585,5289.967803,37.8
Japan,4.90E+12,38492.08889,86.25
Jordan,33678459200,5214.190927,44.2
Kazakhstan,2.24E+11,13171.80739,54
Kenya,44101114724,994.3054057,39
Kiribati,168951535,1650.707224,11.5
"Korea, Dem. Rep.",0,0,0
"Korea, Rep.",1.30E+12,25976.95283,84.77
Kosovo,6959638874,3815.591488,0
Kuwait,0,0,75.46
Kyrgyz Republic,7226295003,1263.448729,23.4
Lao PDR,11141187664,1645.736625,12.5
Latvia,30956691628,15375.44564,75.2344
Lebanon,44352418120,9928.038098,70.5
Lesotho,2229735839,1074.848618,5
Liberia,1950960138,454.3374834,4.6
Libya,75456402200,12167.40251,16.5
Liechtenstein,0,0,93.8
Lithuania,45931968474,15537.91894,68.4529
Luxembourg,60383251106,111161.6877,93.7765
"Macao SAR, China",51753094764,91376.02254,65.8
"Macedonia, FYR",10220781069,4850.505311,61.2
Madagascar,10796551136,470.9540374,2.2
